Frame 0, Rot 0, Dist 0; 
Frame 160, Rot 1.63865, Dist 20.564; 
Frame 161, Rot 1.26826, Dist 15816.1; 
Frame 162, Rot 1.26789, Dist 15816.1; 
Frame 163, Rot 1.05732, Dist 0.0123829; 
Frame 164, Rot 0.00325623, Dist 0.00423908; 
Frame 165, Rot 0.00413929, Dist 0.00509487; 
Frame 166, Rot 0.00505432, Dist 0.00239317; 
Frame 167, Rot 0.00117682, Dist 0.000871825; 
Frame 168, Rot 0.000687347, Dist 0.00100711; 
Frame 169, Rot 0.00161066, Dist 0.00248614; 
Frame 170, Rot 0.000360362, Dist 0.00152869; 
Frame 171, Rot 0.000240998, Dist 0.00372597; 
Frame 172, Rot 0.00116118, Dist 0.000637002; 
Frame 173, Rot 0.0047634, Dist 0.00322986; 
Frame 174, Rot 0.00232923, Dist 0.000518286; 
Frame 175, Rot 0.00382284, Dist 0.00202566; 
Frame 176, Rot 0.00219784, Dist 0.00268457; 
Frame 177, Rot 0.00176051, Dist 0.000648614; 
Frame 178, Rot 0.00190793, Dist 0.00156485; 
Frame 179, Rot 0.00172381, Dist 0.00216194; 
Frame 180, Rot 0.000631842, Dist 0.000658839; 
Frame 181, Rot 0.00379976, Dist 0.00147836; 
Frame 182, Rot 0.389529, Dist 0.281609; 
Frame 183, Rot 0.388041, Dist 0.285668; 
Frame 184, Rot 0.00288858, Dist 0.00130983; 
Frame 185, Rot 0.00191692, Dist 0.00175365; 
Frame 186, Rot 0.0851662, Dist 0.391339; 
Frame 187, Rot 0.518495, Dist 0.0978151; 
Frame 188, Rot 0.206592, Dist 0.0116332; 
Frame 189, Rot 0.0254347, Dist 0.000253584; 
Frame 190, Rot 0.0715824, Dist 0.000129143; 
Frame 191, Rot 0.029304, Dist 1.64327e-05; 
Frame 192, Rot 0.0831451, Dist 0.000100567; 
Frame 193, Rot 0.0931845, Dist 0.000106765; 
Frame 194, Rot 0.0428017, Dist 6.26236e-06; 
Frame 195, Rot 0.0904311, Dist 2.80842e-05; 
Frame 196, Rot 0.0306415, Dist 1.3879e-05; 
Frame 197, Rot 0.0174158, Dist 1.39106e-06; 
Frame 198, Rot 0.0991125, Dist 3.12809e-05; 
Frame 199, Rot 0.12288, Dist 2.97647e-05; 
Frame 200, Rot 0.0368983, Dist 7.70055e-06; 
Frame 201, Rot 0.0179651, Dist 4.11989e-06; 
