Frame 1, x 0, y 0, z 0; 
Frame 269, x 15.824, y 2.06621, z 36.1223; 
Frame 270, x 15.824, y 2.06621, z 36.1223; 
Frame 272, x 15.7853, y 2.04007, z 36.1199; 
Frame 273, x 15.7752, y 2.01572, z 36.166; 
Frame 274, x 15.8336, y 1.98837, z 36.3573; 
Frame 275, x 15.8754, y 1.95435, z 36.5241; 
Frame 276, x 15.8754, y 1.95435, z 36.5241; 
Frame 277, x 15.881, y 1.90164, z 36.6389; 
Frame 278, x 15.8849, y 1.84889, z 36.7509; 
Frame 279, x 15.8408, y 1.78959, z 36.7491; 
Frame 280, x 15.8216, y 1.73624, z 36.8061; 
Frame 281, x 15.7871, y 1.68166, z 36.8093; 
Frame 282, x 15.7515, y 1.63173, z 36.7987; 
Frame 283, x 15.7471, y 1.58677, z 36.8622; 
Frame 284, x 15.7897, y 1.5382, z 37.0216; 
Frame 285, x 15.8385, y 1.4815, z 37.1769; 
Frame 286, x 15.8385, y 1.4815, z 37.1769; 
Frame 287, x 15.8385, y 1.4815, z 37.1769; 
Frame 288, x 15.8385, y 1.4815, z 37.1769; 
Frame 290, x 15.8385, y 1.4815, z 37.1769; 
Frame 291, x 15.8385, y 1.4815, z 37.1769; 
Frame 297, x 15.8385, y 1.4815, z 37.1769; 
Frame 298, x 15.8385, y 1.4815, z 37.1769; 
Frame 299, x 15.8385, y 1.4815, z 37.1769; 
Frame 301, x 15.8385, y 1.4815, z 37.1769; 
Frame 303, x 15.8385, y 1.4815, z 37.1769; 
Frame 304, x 15.8385, y 1.4815, z 37.1769; 
Frame 305, x 15.8385, y 1.4815, z 37.1769; 
Frame 306, x 15.8385, y 1.4815, z 37.1769; 
Frame 311, x 15.8385, y 1.4815, z 37.1769; 
Frame 313, x 17.515, y 0.525929, z 38.3942; 
Frame 314, x 17.5362, y 0.530743, z 38.4542; 
Frame 315, x 17.5886, y 0.54402, z 38.5823; 
Frame 317, x 17.6677, y 0.57153, z 38.7159; 
Frame 318, x 17.669, y 0.602527, z 38.6838; 
Frame 320, x 17.773, y 0.637996, z 38.8229; 
Frame 321, x 17.8427, y 0.683174, z 38.8933; 
Frame 322, x 17.8797, y 0.729154, z 38.9072; 
Frame 323, x 17.9293, y 0.777315, z 38.97; 
Frame 324, x 17.9585, y 0.825563, z 38.994; 
Frame 326, x 17.946, y 0.845955, z 38.9902; 
Frame 327, x 17.9503, y 0.865495, z 39.0072; 
Frame 328, x 17.9503, y 0.865495, z 39.0072; 
Frame 329, x 17.9503, y 0.865495, z 39.0072; 
Frame 330, x 17.9503, y 0.865495, z 39.0072; 
Frame 332, x 17.9503, y 0.865495, z 39.0072; 
Frame 333, x 17.9503, y 0.865495, z 39.0072; 
Frame 334, x 17.9503, y 0.865495, z 39.0072; 
Frame 335, x 18.1986, y 0.616327, z 39.7389; 
Frame 336, x 18.2457, y 0.623319, z 39.8438; 
Frame 337, x 18.2457, y 0.623319, z 39.8438; 
Frame 338, x 18.2268, y 0.631326, z 39.8423; 
Frame 339, x 18.2108, y 0.639896, z 39.8571; 
Frame 340, x 18.19, y 0.650293, z 39.867; 
Frame 341, x 18.19, y 0.650293, z 39.867; 
Frame 342, x 18.19, y 0.650293, z 39.867; 
Frame 343, x 18.19, y 0.650293, z 39.867; 
Frame 344, x 18.19, y 0.650293, z 39.867; 
Frame 345, x 18.19, y 0.650293, z 39.867; 
Frame 346, x 18.19, y 0.650293, z 39.867; 
Frame 348, x 18.19, y 0.650293, z 39.867; 
Frame 352, x 18.19, y 0.650293, z 39.867; 
Frame 353, x 18.19, y 0.650293, z 39.867; 
Frame 354, x 18.19, y 0.650293, z 39.867; 
Frame 357, x 18.19, y 0.650293, z 39.867; 
Frame 358, x 18.19, y 0.650293, z 39.867; 
Frame 359, x 18.19, y 0.650293, z 39.867; 
Frame 360, x 18.19, y 0.650293, z 39.867; 
Frame 361, x 18.19, y 0.650293, z 39.867; 
Frame 362, x 18.19, y 0.650293, z 39.867; 
Frame 363, x 18.19, y 0.650293, z 39.867; 
Frame 364, x 18.19, y 0.650293, z 39.867; 
Frame 365, x 18.19, y 0.650293, z 39.867; 
Frame 366, x 18.19, y 0.650293, z 39.867; 
Frame 368, x 18.19, y 0.650293, z 39.867; 
Frame 370, x 18.19, y 0.650293, z 39.867; 
Frame 371, x 18.19, y 0.650293, z 39.867; 
Frame 372, x 18.19, y 0.650293, z 39.867; 
Frame 373, x 18.19, y 0.650293, z 39.867; 
Frame 374, x 18.19, y 0.650293, z 39.867; 
Frame 375, x 18.19, y 0.650293, z 39.867; 
Frame 376, x 18.19, y 0.650293, z 39.867; 
Frame 377, x 14.9785, y 1.6456, z 42.5756; 
Frame 378, x 14.9878, y 1.64485, z 42.584; 
Frame 379, x 15.0151, y 1.63796, z 42.6313; 
Frame 380, x 15.0472, y 1.62769, z 42.6957; 
Frame 381, x 15.0685, y 1.60228, z 42.7196; 
Frame 382, x 15.0799, y 1.57782, z 42.7105; 
Frame 383, x 15.0718, y 1.55467, z 42.6365; 
Frame 384, x 15.084, y 1.53296, z 42.62; 
Frame 386, x 15.084, y 1.53296, z 42.62; 
Frame 387, x 15.0421, y 1.50714, z 42.5427; 
Frame 388, x 15.0016, y 1.48281, z 42.4648; 
Frame 389, x 14.9736, y 1.46436, z 42.4286; 
Frame 390, x 14.9817, y 1.4573, z 42.4933; 
Frame 391, x 14.9817, y 1.4573, z 42.4933; 
Frame 392, x 14.997, y 1.47331, z 42.5603; 
Frame 393, x 15.0164, y 1.50005, z 42.6318; 
Frame 394, x 15.0302, y 1.52844, z 42.6735; 
Frame 395, x 15.0436, y 1.55919, z 42.7002; 
